produto,preço,Parcela
"Placa de Vídeo RTX 3060 1-Click OC Galax NVIDIA GeForce, 12GB GDDR6, LHR, DLSS, Ray Tracing - 36NOL7MD1VOC","R$ 2.399,99","ou até
10x de R$ 282,35"
"Processador AMD Ryzen 7 5700X3D, 3.0 GHz, (4.1GHz Max Turbo), Cache 4MB, 8 Núcleos, 16 Threads, AM4 - 100-100001503WOF","R$ 1.649,99","ou até
10x de R$ 183,33"
"SSD Lexar NS100, 128GB, SATA III, 2.5"", Leitura: 550MB/s, Preto - LNS100-128RBNA","R$ 99,99","ou até
4x de R$ 29,41"
"Ventoinha Rise Mode Galaxy Motherboard, 120mm, ARGB, Preto - RM-MB-01-5V","R$ 23,99","ou até
1x de R$ 25,40"
"Processador Amd Ryzen 5 5500, 3.6ghz, Cache 16mb, Hexa Core, 12 Threads, Am4 - 100-100000457box","R$ 548,90","ou até
10x de R$ 60,98"
"SSD Rise Mode Gamer Line, 120GB, SATA III, 2.5"", Leitura: 535MB/s, Gravação: 435MB/s, Preto - RM-SSD-120","R$ 74,99","ou até
3x de R$ 29,40"
"Processador AMD Ryzen 7 9800X3D, Cache 8MB, 8 Núcleos, 16 Threads, AM5 - 100-100001084WOF","R$ 3.299,99","ou até
10x de R$ 374,99"
"Placa de Vídeo RTX 3060 Ventus 2X MSI NVIDIA GeForce, 12GB GDDR6, DLSS, Ray Tracing - RTX 3060 Ventus 2X 12G OC","R$ 2.199,99","ou até
10x de R$ 258,82"
"SSD Rise Mode Gamer Line, 480GB, SATA III, 2.5"", Leitura: 535MB/s, Gravação: 435MB/s, Preto - RM-SSD-480","R$ 214,99","ou até
10x de R$ 25,29"
"Processador AMD Ryzen 5 5500, 3.6GHz, Cache 16MB, Hexa Core, 12 Threads, AM4 - 100-100000457BOX","R$ 539,90","ou até
10x de R$ 59,98"
"Memória RAM Corsair Vengeance LPX, 32GB 2666Mhz DDR4 CL16, Preto - CMK32GX4M1A2666C16","R$ 429,99","ou até
10x de R$ 50,58"
"HD Externo WD Elements, 4TB, USB 3.0, Preto - WDBU6Y0040BBK","R$ 799,99","ou até
10x de R$ 94,11"
"Air Cooler Rise Mode Gamer G800, RGB, AMD/Intel, 90mm, Preto - RM-AC-O8-RGB","R$ 79,99","ou até
3x de R$ 31,37"
"Placa de Vídeo RX 7600 GAMING OC 8G AMD Radeon Gigabyte, 8GB, GDDR6, 128bits, RGB - GV-R76GAMING OC-8GD","R$ 1.999,99","ou até
10x de R$ 235,29"
"Water Cooler Rise Mode Gamer Black, RGB, 240mm, AMD/Intel, Preto - RM-WCB-02-RGB","R$ 179,99","ou até
8x de R$ 26,46"
"Kit Com 3 Ventoinhas Rise Mode Laser, 120mm, ARGB, Preto - RM-RGB-05-5V","R$ 79,99","ou até
3x de R$ 30,30"
"Kit Com 3 Ventoinhas Rise Mode Energy, 120mm, ARGB, Preto - FN-02-RGB-5V","R$ 75,99","ou até
3x de R$ 28,78"
"Placa de vídeo RTX 4060 ASUS Dual 8G EVO OC NVIDIA GeForce, 8GB GDDR6, G-SYNC, Ray Tracing - 90YV0JC7-M0NA00","R$ 2.499,90","ou até
10x de R$ 294,10"
